timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-10-03T13:31:01,codecarbon,88df199b-e4f1-4553-ae4a-b1e80e3780dd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.83054545801133,1.942451334238056e-05,2.199695753194733e-06,42.5,0.0,3.0,0.0001042448795138,0,7.358184791664827e-06,0.0001116030643055,Spain,ESP,catalonia,,,macOS-11.0.1-arm64-arm-64bit,3.10.4,2.7.1,8,Apple processor,,,2.0997,41.3954,8.0,machine,N,1.0
2024-10-03T13:34:41,codecarbon,97835cb4-45bc-44e4-8910-f6410158b47f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.016116749990033,1.7633048838901028e-05,2.1996996037916927e-06,42.5,0.0,3.0,9.463069233592657e-05,0,6.679556666664818e-06,0.0001013102490025,Spain,ESP,catalonia,,,macOS-11.0.1-arm64-arm-64bit,3.10.4,2.7.1,8,Apple processor,,,2.0997,41.3954,8.0,machine,N,1.0
2024-10-03T13:43:25,codecarbon,36bd7ed4-6bb8-4c7b-a1d9-20583e58d14d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.008861791982781,3.081540875161416e-05,2.1997082424818914e-06,42.5,0.0,3.0,0.00016537591440968149,0,1.1673259687498407e-05,0.0001770491740971799,Spain,ESP,catalonia,,,macOS-11.0.1-arm64-arm-64bit,3.10.4,2.7.1,8,Apple processor,,,2.0997,41.3954,8.0,machine,N,1.0
